Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Matthew Jones,0.0,0.64,0.45,0.66,0.43,2.18,57
Jimmy Traynor,0.14,0.26,0.69,0.25,0.91,2.25,57
Edna Lynch,0.47,0.97,0.77,1.0,0.53,3.74,89
Rose Ostler,0.34,1.0,0.0,0.71,0.65,2.7,36
Carol Starbuck,0.68,0.41,0.09,0.32,0.99,2.49,44
Claudia Benning,0.98,0.41,0.96,0.45,0.65,3.45,95
Alan Arceneaux,0.0,0.51,0.7,0.0,0.32,1.53,64
Mary Silva,0.44,0.2,0.14,0.2,0.37,1.35,55
Jason Capaldi,0.0,0.87,0.2,0.28,0.8,2.15,46
Madonna Francis,0.0,0.4,0.96,0.0,0.56,1.92,50
Jerome Johns,0.21,0.25,0.07,0.55,1.0,2.08,45
Krishna Bindel,0.0,0.41,0.0,0.36,0.15,0.92,35
Charlotte Das,0.8,1.0,0.69,0.26,0.06,2.81,87
Kathleen Lazor,0.0,0.69,0.05,0.93,0.06,1.73,37
Brett Watkins,0.16,0.0,0.47,1.0,0.13,1.76,50
Allen Keller,0.0,0.75,1.0,0.63,0.48,2.86,81
Richie Wahlstrom,0.26,0.75,0.0,0.26,0.37,1.64,54
Larry Parks,0.18,0.37,0.0,0.74,1.0,2.29,58
Randall Morales,0.0,0.0,0.53,0.42,0.0,0.95,65
Meredith Miller,0.75,0.74,0.56,0.69,0.0,2.74,81
Helen Greer,0.18,0.47,0.76,0.81,0.69,2.91,88
Katharine Hartz,0.0,0.02,0.75,1.0,1.0,2.77,82
Ines Evert,0.88,0.12,0.02,0.0,0.02,1.04,66
John Nilsson,0.0,1.0,0.28,0.45,0.24,1.97,61
Linda Moreno,1.0,0.0,0.57,0.56,0.0,2.13,61
Bette Stripling,0.1,0.37,0.12,0.92,0.0,1.51,35
Steven Moore,0.86,0.13,0.24,0.0,0.32,1.55,66
Sean Keitt,0.37,0.46,1.0,0.0,0.64,2.47,44
Juanita Fox,0.0,0.0,0.06,0.39,0.18,0.63,30
Andrew Douglas,0.89,0.65,0.31,0.0,0.63,2.48,62
Anthony Benninger,0.46,0.74,0.0,0.64,0.12,1.96,55
Cynthia Thompson,0.02,0.54,0.56,0.56,0.0,1.68,46
Richard Thomas,1.0,0.52,1.0,0.36,0.54,3.42,70
Thomas Schulman,0.74,0.16,0.87,1.0,0.05,2.82,83
Eleanor Leone,0.56,0.0,0.78,0.63,0.77,2.74,93
Warren Griffin,0.0,0.78,0.41,0.43,0.14,1.76,65
Amy Valentine,0.57,0.92,0.6,0.58,1.0,3.67,93
Dennis Souza,0.01,0.8,0.0,1.0,0.54,2.35,35
Howard Sedgwick,0.39,0.0,0.11,1.0,0.0,1.5,33
Gregory Click,0.0,0.0,0.0,0.42,0.45,0.87,30
Benny Lee,0.42,1.0,0.04,0.37,0.0,1.83,42
Barbara Stewart,0.53,0.68,0.4,0.6,0.69,2.9,79
Jeff Garay,0.0,0.81,0.35,0.85,0.24,2.25,37
David Swank,0.0,0.81,1.0,0.0,0.12,1.93,38
Viola Humphries,0.7,0.04,0.68,0.56,0.85,2.83,77
Bryant Lingafelter,0.0,0.84,0.56,0.62,0.25,2.27,45
Thomas Ramgel,0.78,0.0,0.57,1.0,1.0,3.35,81
Lori Ledbetter,0.14,0.0,1.0,0.4,0.11,1.65,35
Gary Singleton,0.47,0.57,0.0,0.0,0.75,1.79,33
John Lester,0.51,0.88,0.0,0.0,0.05,1.44,61
Sean Barbour,0.44,0.1,0.0,0.12,0.0,0.66,43
Roselyn Bonn,0.0,0.63,0.97,0.07,0.45,2.12,56
Wendy Nelson,0.23,0.93,0.6,0.91,1.0,3.67,76
Martin Desilva,0.31,0.97,0.0,1.0,0.84,3.12,90
Tonya Bell,0.96,0.0,1.0,0.22,0.06,2.24,51
Susan Tracy,0.27,0.55,0.37,0.18,1.0,2.37,31
Chang Hill,0.65,0.39,1.0,0.08,0.0,2.12,62
Roy Delano,0.84,0.58,0.13,1.0,0.41,2.96,84
James Andrews,0.53,0.29,0.75,0.0,0.9,2.47,65
Jack Parks,0.16,1.0,0.5,0.0,0.48,2.14,66
Donnie Cox,0.21,0.9,0.0,0.74,0.0,1.85,53
Michael Sutton,0.61,0.61,0.07,0.84,0.42,2.55,54
John Powell,0.0,0.31,1.0,0.08,0.07,1.46,42
Emma Gray,0.52,0.68,0.31,0.44,0.12,2.07,48
Joseph Miele,0.48,1.0,0.65,0.0,0.06,2.19,67
Joan Minge,0.45,0.16,1.0,0.8,1.0,3.41,98
Jerry Mendez,0.0,1.0,0.84,0.12,1.0,2.96,94
Porfirio Cole,0.0,0.4,0.63,0.54,0.3,1.87,37
Patricia Thompson,0.09,0.64,0.0,0.86,0.74,2.33,40
Ronda Peterson,0.34,0.37,0.67,0.74,0.79,2.91,96
Perry Esparza,1.0,0.65,0.13,0.75,0.71,3.24,76
Venita Meadows,0.0,0.0,1.0,0.0,0.0,1.0,59
Heather Baginski,0.44,1.0,0.97,0.09,0.97,3.47,82
Doris Brewer,0.0,0.76,0.92,0.75,0.09,2.52,39
Willie Cooper,0.28,0.0,0.54,0.0,0.01,0.83,50
Carl James,0.26,0.0,0.16,0.87,0.68,1.97,38
Lynne Parker,0.6,0.6,0.44,0.41,1.0,3.05,89
James Jackson,0.44,0.02,0.56,1.0,0.0,2.02,65
Marshall Forsythe,0.0,0.52,0.0,0.13,0.36,1.01,32
Jerry Reed,0.0,0.0,0.1,0.46,0.44,1.0,35
Julian Richardson,0.49,0.21,1.0,1.0,0.31,3.01,76
Donovan Gates,0.56,0.66,1.0,0.63,0.0,2.85,71
Wayne Prattis,0.3,0.38,0.0,1.0,0.0,1.68,51
Steven Tiffin,0.0,0.0,0.0,0.0,0.0,0.0,45
Tracy Bader,0.04,0.0,0.14,0.82,0.0,1.0,60
Teresa Berube,0.99,0.7,0.0,0.0,0.9,2.59,34
Claire Fugitt,1.0,0.23,0.33,0.33,1.0,2.89,90
Mary Evans,0.0,0.45,0.94,0.68,0.0,2.07,45
Shane Aranda,0.64,0.0,0.0,0.85,0.85,2.34,56
Bennie Marshall,1.0,1.0,0.85,0.28,0.76,3.89,94
Paula Rodriguez,0.05,0.49,0.11,0.0,0.66,1.31,68
Stephanie Tram,0.31,0.0,1.0,0.0,0.37,1.68,38
William Brown,0.29,0.19,0.7,0.73,0.38,2.29,62
Melissa Chavarria,0.03,0.6,1.0,0.08,0.0,1.71,37
Jason Neff,0.6,0.65,1.0,0.09,0.27,2.61,36
Justin Castro,1.0,0.19,0.12,0.88,0.0,2.19,54
Susie Fowler,1.0,0.61,0.0,0.0,0.0,1.61,46
Alan Worthy,0.53,0.3,1.0,0.14,0.72,2.69,57
Daniela Holloway,0.46,0.99,0.0,0.0,0.28,1.73,42
Marvin Griffith,0.59,0.0,1.0,0.68,0.19,2.46,37
Sandra Vanderpool,0.21,0.0,0.19,0.0,0.0,0.4,51
Deborah Cuccia,1.0,0.84,0.0,0.25,0.89,2.98,81
Edna Manning,1.0,0.94,0.0,0.66,0.11,2.71,95
Mildred Kubiszewski,0.94,0.59,0.0,0.0,0.45,1.98,62
Lino Boswell,0.21,0.84,0.0,0.0,0.31,1.36,44
Laura Johnson,0.59,0.72,0.47,0.23,0.76,2.77,72
John Davis,0.8,0.31,0.0,0.51,0.17,1.79,45
Suzanne Williams,0.0,0.0,0.93,1.0,1.0,2.93,93
Elizabeth Blaine,0.0,0.69,0.0,0.26,0.26,1.21,34
Francis Figg,0.11,0.4,0.31,0.89,0.94,2.65,47
Vanessa Mahone,0.0,0.04,0.35,0.06,0.27,0.72,37
Jess Ward,0.19,0.89,0.35,0.0,0.46,1.89,67
Robert Fontaine,1.0,0.67,0.22,0.81,0.0,2.7,39
Tammy Rossin,0.17,0.23,0.44,0.16,0.72,1.72,58
Stephanie Dunsford,0.19,1.0,0.36,0.45,0.42,2.42,58
Clifton Mcmurray,0.78,0.82,0.91,0.79,0.63,3.93,71
Lester Egge,0.07,0.0,0.0,1.0,0.23,1.3,33
Amanda Mcwilliams,1.0,0.47,1.0,0.0,0.37,2.84,72
Alejandro Ewing,0.0,1.0,0.15,0.39,0.4,1.94,52
Emil Ledbetter,0.8,1.0,0.03,0.56,0.0,2.39,54
Pauline Mcqueen,0.6,0.49,0.88,0.0,0.0,1.97,63
Stephanie Bradley,1.0,0.04,0.0,0.23,1.0,2.27,67
Karl Chafin,0.22,0.41,1.0,1.0,1.0,3.63,74
Jeanne Tallarico,0.0,0.0,0.0,1.0,0.85,1.85,47
Lelia Schiff,0.0,0.16,0.44,0.33,0.91,1.84,54
Dwayne Ahart,0.2,0.0,1.0,0.17,0.44,1.81,38
Roy Borden,0.73,0.52,0.73,0.22,1.0,3.2,98
Ann Berger,0.17,0.56,0.0,0.11,0.0,0.84,56
Mary Palafox,0.74,0.48,0.2,0.08,0.25,1.75,55
Jonathan Valdez,0.26,0.46,1.0,0.86,1.0,3.58,76
Anne Guiterrez,0.0,0.11,1.0,0.67,0.95,2.73,90
Nancy Graham,0.0,0.44,0.34,0.8,1.0,2.58,58
Mary Myers,0.64,0.89,0.0,0.0,0.14,1.67,32
Mollie Hadley,1.0,0.22,0.18,0.0,0.26,1.66,60
James Howes,0.82,0.0,0.59,1.0,0.0,2.41,37
Sara Sheffer,0.28,0.0,0.0,0.0,0.02,0.3,63
Charles Minutillo,0.67,0.74,1.0,0.0,0.0,2.41,49
Jesse Anderson,0.6,0.0,0.0,0.34,0.7,1.64,63
Deborah Collins,0.18,0.93,0.83,0.0,0.33,2.27,48
Beulah Ludwick,0.0,1.0,0.04,0.34,1.0,2.38,67
Peter Toy,0.28,0.48,1.0,0.67,0.0,2.43,49
Stephane Barreto,0.72,1.0,0.84,0.7,0.46,3.72,91
Gabrielle Beuth,0.18,1.0,0.0,0.16,0.74,2.08,52
Bryon Mccauley,1.0,0.46,0.0,0.52,0.78,2.76,70
Helene Smalley,0.0,0.0,0.17,0.74,0.16,1.07,37
Julie Preston,0.03,0.02,0.21,1.0,0.78,2.04,61
Lana Davis,0.0,1.0,1.0,0.02,0.0,2.02,49
Thad Stainback,0.05,0.73,0.0,0.02,0.0,0.8,53
Zenaida Reed,0.1,0.84,0.61,0.8,0.1,2.45,57
Michelle Cannon,0.46,0.3,1.0,1.0,0.0,2.76,78
Mary Perez,0.0,1.0,0.64,0.0,0.44,2.08,40
William Shull,1.0,0.86,0.0,0.6,0.75,3.21,81
Kathy Sims,1.0,0.85,0.0,0.24,1.0,3.09,79
Todd Rhea,0.72,0.69,0.0,0.96,1.0,3.37,81
Yolanda Gatesy,0.29,0.16,0.0,0.17,0.0,0.62,67
Karen Komp,0.94,0.6,0.65,0.0,0.43,2.62,52
Jorge Willis,0.62,0.27,0.71,0.76,0.39,2.75,96
Eric Cole,0.07,0.0,0.1,0.0,0.36,0.53,39
Larry Reeves,0.64,0.0,0.0,0.9,0.16,1.7,62
Burl Stansel,0.0,1.0,0.52,0.6,0.0,2.12,34
Monte Eller,1.0,0.0,0.44,0.0,0.54,1.98,58
Lesha Terrell,0.38,0.05,0.41,0.74,0.59,2.17,40
Steven Gagne,0.89,1.0,1.0,0.56,0.2,3.65,82
Darrel Hurtubise,0.0,0.0,0.62,0.55,0.0,1.17,47
Danny Martin,0.83,0.59,0.23,0.74,0.0,2.39,48
Morris Downs,1.0,0.16,0.66,0.0,0.49,2.31,62
William Workman,0.21,0.19,0.0,0.26,0.32,0.98,65
Gail Knight,0.13,0.0,0.31,1.0,1.0,2.44,58
James Brammer,0.14,0.34,0.0,0.76,0.11,1.35,62
Ashley Simeone,0.85,0.11,0.0,0.53,0.0,1.49,51
Kenneth Thornton,0.35,0.7,0.29,0.0,0.27,1.61,41
Deanna Corda,0.17,0.21,0.39,0.7,1.0,2.47,40
Kathy Theriault,0.24,0.0,1.0,0.24,0.79,2.27,33
Brandon Swanson,0.0,0.21,0.01,0.0,0.12,0.34,50
Carol Harrell,0.67,0.54,1.0,0.0,0.24,2.45,63
Rachel Ransom,0.08,1.0,0.8,0.6,0.63,3.11,96
Richard Valencia,0.93,1.0,0.0,0.6,0.86,3.39,94
Anna Hannigan,0.19,1.0,0.17,0.15,0.69,2.2,68
Leta Miller,0.32,0.0,0.0,0.0,0.26,0.58,30
Jeffrey Johnson,0.45,0.39,1.0,0.0,0.88,2.72,85
Patricia Souder,0.96,0.95,0.1,0.65,1.0,3.66,89
Edna Duron,0.0,0.25,0.2,0.17,0.4,1.02,60
Jacqueline Schulman,0.0,0.0,1.0,0.46,1.0,2.46,30
Jeannette Miller,0.76,0.0,0.68,0.67,0.49,2.6,63
Estela Mason,0.0,0.48,0.35,0.64,0.47,1.94,50
Jill Jamison,1.0,0.41,0.0,0.0,0.0,1.41,64
Duane Zee,0.9,1.0,0.42,1.0,0.14,3.46,95
Cory Stockwell,0.15,0.17,0.36,0.0,0.36,1.04,55
Kathleen Preciado,0.0,0.24,0.14,0.0,0.97,1.35,62
Elmer Smith,0.31,0.95,0.28,0.0,1.0,2.54,38
John Blackman,0.39,0.3,0.35,0.63,0.46,2.13,63
Jean Oldenkamp,0.78,0.02,0.63,0.07,0.04,1.54,52
Steven Braithwaite,0.73,0.37,0.65,0.2,0.0,1.95,35
Ryan Biondo,0.0,0.0,0.0,0.12,0.52,0.64,63
Bryan Eastman,0.0,1.0,0.41,0.45,0.64,2.5,56
Kathryn Crouch,0.87,0.91,0.2,0.61,0.6,3.19,98
Allison Garraway,0.86,1.0,1.0,0.67,0.51,4.04,85
Rita Combes,0.48,0.66,0.33,0.02,0.0,1.49,33
Ramon Paxton,0.93,0.87,0.86,0.04,0.0,2.7,61
Angelo Hafferkamp,0.0,0.45,0.0,1.0,0.91,2.36,60
Fredrick Ellis,0.56,0.38,0.0,0.33,0.67,1.94,64
Jeffrey Hanson,1.0,0.0,0.0,0.0,0.6,1.6,34
Jeanette Mccoy,0.43,0.47,0.0,0.0,0.78,1.68,30
Linda Salas,0.65,0.0,1.0,0.16,0.49,2.3,65
James English,0.89,0.93,0.06,0.12,0.97,2.97,95
Nestor Stengel,0.65,0.18,0.2,0.99,0.64,2.66,42
Anne Kemp,0.9,0.1,0.69,0.0,0.92,2.61,60
Garry Ennen,0.75,0.0,0.0,0.16,0.15,1.06,47
Robert Boling,0.68,0.0,0.1,0.0,0.0,0.78,61
Arthur Gaskin,0.9,0.03,0.14,0.67,0.37,2.11,34
Dora Walker,0.0,0.36,0.01,0.71,0.23,1.31,59
Anna Wills,0.21,0.75,0.0,0.5,0.0,1.46,34
Andrew Barkley,0.0,0.04,0.91,0.01,0.67,1.63,39
Tammy Culliton,0.61,1.0,0.11,0.41,0.0,2.13,64
Sean Meyn,0.28,0.34,1.0,0.72,0.74,3.08,84
Jose Fletcher,0.74,0.0,0.0,0.12,0.31,1.17,55
Mary Mitchell,1.0,0.08,0.84,0.66,0.71,3.29,91
James Penix,0.69,0.0,0.46,0.38,1.0,2.53,47
Lula Angelo,0.0,0.86,0.0,0.0,0.0,0.86,64
James Jeffers,0.0,0.83,0.51,0.34,0.23,1.91,64
Barry Nordahl,0.64,0.53,0.4,0.26,0.38,2.21,39
Veronica Burchell,0.37,0.26,0.2,0.62,0.68,2.13,31
Lorraine Gayle,0.97,1.0,0.94,0.44,0.83,4.18,86
Robert Pan,0.0,0.59,0.05,0.34,0.68,1.66,34
Robert Manly,1.0,1.0,0.0,0.18,0.8,2.98,79
Sharon Queen,0.46,0.68,0.69,1.0,1.0,3.83,77
Jacob Chavez,0.18,0.86,0.18,0.84,0.1,2.16,32
Michael Morrow,0.78,0.99,0.56,0.8,0.53,3.66,84
Frank Searcy,1.0,0.32,0.61,0.0,0.12,2.05,48
Joanne Degidio,0.69,0.68,0.38,0.0,0.84,2.59,37
Christopher Garrick,0.0,0.0,0.0,0.71,0.0,0.71,66
Oscar Hickman,0.0,0.16,0.97,0.43,0.64,2.2,53
Hallie Neri,0.0,0.48,0.0,0.94,0.0,1.42,49
Glenda Le,0.66,0.39,0.89,0.45,0.31,2.7,30
Bryan Fulbright,0.0,0.64,0.63,1.0,0.51,2.78,83
Eric Lally,0.48,0.0,1.0,0.58,0.0,2.06,45
Anthony Roland,0.6,0.1,0.27,0.15,0.6,1.72,68
Nicholas Sherman,0.33,0.38,0.42,0.51,0.37,2.01,50
John Howard,1.0,0.29,0.71,0.0,0.69,2.69,60
Doris Mathews,0.49,0.0,0.53,0.91,0.76,2.69,67
George Huddleston,0.0,1.0,0.66,0.75,0.0,2.41,61
David Robinson,0.24,0.78,0.31,1.0,0.67,3.0,77
Vickie Playford,0.0,0.0,0.4,0.82,0.03,1.25,34
Christopher Dudley,0.13,0.05,0.43,0.55,1.0,2.16,45
Ann Bellamy,0.0,0.65,0.65,0.48,0.37,2.15,38
Joan Butler,0.09,0.77,0.42,0.42,0.71,2.41,56
Leigh Carter,0.0,1.0,0.92,1.0,0.69,3.61,97
James Burkhart,0.13,0.0,0.0,0.0,0.53,0.66,52
Gary Stutzman,0.46,0.86,0.33,0.07,0.0,1.72,45
Louie Hunter,0.0,0.0,0.0,0.27,0.6,0.87,58
Stanley Paige,1.0,0.0,0.06,0.57,0.77,2.4,32
Abigail Skeen,0.93,0.15,0.13,0.34,1.0,2.55,57
Bernice Gumbs,0.0,0.65,0.01,0.45,0.49,1.6,53
Jeffrey Cardenas,0.0,1.0,0.7,0.4,0.42,2.52,38
Lisa Lowe,0.5,0.64,0.81,0.0,0.19,2.14,62
Grace Jaimes,0.69,0.0,0.42,0.36,0.82,2.29,34
David Grace,0.0,1.0,0.3,0.7,1.0,3.0,83
Martha Sauls,0.54,0.88,0.46,0.15,0.92,2.95,83
Norman Barrett,0.59,0.0,0.0,0.6,0.0,1.19,54
Louise Mcfaddin,0.68,0.91,0.42,0.83,0.78,3.62,87
John Russell,0.76,0.77,0.03,0.37,0.93,2.86,73
Carl Allen,0.48,0.0,0.08,1.0,0.0,1.56,65
Stephanie Gunnels,0.18,0.0,0.41,0.75,0.5,1.84,61
Daisy Robichaux,0.51,0.0,1.0,0.0,0.45,1.96,32
Heriberto Ambrose,0.74,0.69,1.0,1.0,0.57,4.0,89
Fanny Thompson,0.03,0.66,0.32,0.7,0.66,2.37,36
Daphne Smith,0.17,0.64,1.0,0.15,0.19,2.15,39
Mary Gravely,1.0,0.29,1.0,0.87,0.8,3.96,86
Gary Mincey,0.26,0.35,0.73,0.25,0.45,2.04,35
Deborah Johnson,0.46,0.0,0.0,0.16,1.0,1.62,50
Monty Elbert,0.4,0.48,0.0,0.0,0.0,0.88,37
William Walton,0.43,0.05,1.0,0.0,0.94,2.42,47
Kenneth Kelly,0.0,0.05,0.0,0.0,0.61,0.66,49
Cristopher Harkrader,0.09,0.37,0.0,0.0,0.01,0.47,37
Jill Mayeux,0.81,1.0,1.0,0.97,0.18,3.96,95
Edward Chapman,0.0,0.15,0.02,0.95,0.16,1.28,58
Matthew Smith,0.72,0.0,0.33,0.39,1.0,2.44,43
Erin Zahn,0.0,0.0,0.42,0.27,1.0,1.69,32
Minnie Yusef,0.65,0.48,0.59,0.65,0.81,3.18,79
Ray Mccoy,0.23,0.0,0.0,0.21,0.14,0.58,37
Barabara Rollins,0.0,0.76,0.24,0.38,0.4,1.78,60
Lucille Dixion,0.21,0.33,0.47,1.0,0.24,2.25,30
Guillermina Fowler,0.58,0.0,0.0,0.59,0.51,1.68,37
Carolyn Turner,1.0,0.94,0.61,0.0,1.0,3.55,79
Howard Knapp,0.36,0.0,0.0,0.2,0.0,0.56,64
Peggy Thornburg,0.77,0.4,1.0,0.0,1.0,3.17,73
Edwin Whitlow,0.0,0.74,0.0,1.0,0.0,1.74,59
Denise Walp,0.32,0.79,1.0,0.0,0.47,2.58,51
Robert Lefkowitz,0.6,0.95,0.13,0.92,0.64,3.24,74
Cindy Rivera,0.0,0.7,0.04,0.85,0.48,2.07,49
Kaitlin Faycurry,0.44,0.0,0.0,0.51,0.76,1.71,54
Alma Intrieri,0.18,1.0,0.0,0.82,1.0,3.0,80
Ann Walker,0.51,0.18,0.04,0.71,0.0,1.44,60
Tony Torres,0.6,0.37,0.6,0.27,0.33,2.17,53
Leroy Hughes,1.0,0.17,0.0,0.57,0.0,1.74,35
Jamal Alvarez,0.36,0.31,0.83,0.3,0.41,2.21,40
Jessie Allen,0.7,0.1,0.82,0.04,0.55,2.21,66
Kristen Ruiz,0.24,0.0,0.35,0.74,0.0,1.33,41
Willa Guzman,0.63,0.42,0.6,0.11,0.87,2.63,64
Sheila Worley,0.34,0.0,0.81,0.41,0.0,1.56,34
Jeffrey Blodgett,0.37,0.0,0.79,0.78,0.37,2.31,51
Oscar Abreu,0.49,0.24,0.9,0.13,0.0,1.76,63
David Romero,0.74,1.0,1.0,0.34,0.58,3.66,94
Duncan Win,0.01,0.63,0.64,0.84,0.41,2.53,64
Frances Jenkins,0.22,0.72,0.6,0.0,0.16,1.7,31
Joyce Harris,1.0,0.0,0.07,0.0,0.56,1.63,43
Patricia Carmona,0.0,1.0,0.0,0.81,0.96,2.77,95
Matthew Klein,1.0,0.0,0.82,0.43,0.63,2.88,83
Laura James,0.3,1.0,0.0,0.52,0.5,2.32,56
Elouise Westfall,0.0,0.47,0.0,0.04,0.09,0.6,32
Josephine Pope,0.49,1.0,0.55,1.0,0.22,3.26,88
Elizabeth Reyes,0.5,0.0,0.0,0.0,0.82,1.32,42
Clarence Kay,0.37,0.79,0.11,0.0,1.0,2.27,32
Lisa Abdul,0.0,0.0,0.29,0.37,1.0,1.66,48
Michael Martin,0.87,0.0,0.95,0.1,0.53,2.45,49
Dora Goodrich,0.0,1.0,0.59,0.64,0.87,3.1,95
Tiffany Love,0.56,0.18,0.94,0.47,0.04,2.19,33
Annette Stokley,0.5,0.98,0.06,0.78,0.0,2.32,55
Tammy Brown,0.82,0.92,0.8,0.37,0.0,2.91,84
David Tilley,0.11,1.0,0.08,0.08,1.0,2.27,47
Terri Frith,0.64,0.85,1.0,0.22,0.76,3.47,93
Karen Williams,0.0,0.98,1.0,0.51,1.0,3.49,77
Beth Dean,0.0,1.0,0.34,0.31,1.0,2.65,38
Tanya Hutcherson,0.88,0.0,0.08,0.84,1.0,2.8,95
Anthony Wilson,0.83,0.48,0.12,0.89,0.66,2.98,79
Alyssa Lona,0.57,0.28,0.0,0.0,0.19,1.04,55
Glen Wilson,0.65,0.76,1.0,0.04,0.16,2.61,40
Terry Brown,0.33,0.81,0.0,0.61,0.0,1.75,39
Lakeisha White,0.0,0.65,0.53,0.49,0.97,2.64,37
Cassandra Burden,0.65,0.38,1.0,0.61,0.01,2.65,64
Joel Peterman,0.26,0.22,1.0,0.85,0.33,2.66,63
Patricia Mason,1.0,0.0,0.31,0.06,0.9,2.27,54
Danny Stebbins,0.62,0.54,0.52,0.95,0.15,2.78,83
Michael Rosado,0.21,0.56,0.49,0.0,0.0,1.26,43
Jose Mong,0.71,1.0,0.75,0.05,1.0,3.51,97
Amanda Terrio,0.92,0.0,0.11,0.71,0.96,2.7,46
Betsy Kurian,0.51,1.0,0.43,0.53,0.36,2.83,78
Sheldon Blevins,0.98,0.72,0.25,0.8,1.0,3.75,96
Ruby Young,0.24,1.0,0.46,0.53,1.0,3.23,74
Ami Morris,0.0,0.0,0.0,0.64,0.05,0.69,54
Billy Butler,1.0,0.23,0.0,0.0,0.0,1.23,40
Jena Dancer,0.15,1.0,1.0,0.0,0.91,3.06,82
Timothy Davis,0.35,0.0,0.7,1.0,0.67,2.72,93
Nancy Cornwell,0.03,1.0,1.0,0.16,0.4,2.59,38
Susan Fong,1.0,0.88,0.0,0.3,0.19,2.37,39
Charlotte Houle,0.51,0.01,0.6,0.54,0.12,1.78,63
Joseph Stotts,0.0,1.0,0.3,0.63,0.0,1.93,55
Chanda Jarvis,0.51,1.0,0.0,1.0,0.44,2.95,94
Donna Crayton,1.0,0.34,0.15,0.13,0.26,1.88,44
Jaclyn Gummer,1.0,0.06,0.41,0.59,0.94,3.0,75
Virginia Dower,0.82,1.0,0.0,0.84,0.0,2.66,42
Clarice Allen,0.24,0.78,0.09,0.0,0.0,1.11,67
Milton Wooster,0.0,0.0,0.26,0.0,0.38,0.64,49
Thomas Paul,0.36,0.0,0.0,1.0,0.77,2.13,56
Lorna Iglesia,0.0,0.08,0.4,0.0,0.41,0.89,54
Jessica Serrano,0.0,1.0,0.63,0.74,0.0,2.37,32
Bernice Kilburn,0.71,1.0,0.4,0.31,0.37,2.79,97
Tracy Madison,0.67,0.94,0.95,0.0,0.71,3.27,94
Kori Jordan,0.0,0.14,1.0,0.0,0.0,1.14,43
Valorie Coleman,0.39,0.78,0.57,0.15,0.0,1.89,32
Dawn Darrow,0.0,0.55,0.0,0.36,0.93,1.84,41
Janet Friedman,0.15,0.74,0.15,0.48,0.0,1.52,50
William Valverde,0.0,0.28,0.47,0.34,0.14,1.23,44
Rebecca Adcox,0.72,0.96,0.64,0.36,0.4,3.08,95
Rosemary Fox,0.89,0.78,0.02,1.0,0.48,3.17,70
Alan Lemons,0.72,0.54,0.05,0.35,0.1,1.76,68
Luis Parker,0.0,1.0,1.0,0.0,0.15,2.15,57
John Richardson,0.0,0.0,1.0,0.5,0.87,2.37,38
Carlos Levine,0.61,0.03,0.43,0.0,0.71,1.78,35
Jeff Conn,1.0,0.0,0.33,0.0,0.11,1.44,60
Dennis Cox,0.29,1.0,0.0,1.0,0.48,2.77,82
Ronald Ingram,0.34,1.0,0.7,0.0,0.14,2.18,67
Claire Pitts,0.84,0.27,1.0,0.0,0.0,2.11,35
Alexander Akers,0.0,0.22,0.83,1.0,0.0,2.05,53
Maria Luis,0.2,0.66,0.78,0.52,0.26,2.42,47
Clayton Chavez,0.0,0.67,1.0,0.0,1.0,2.67,65
Cletus Lynch,0.2,1.0,0.0,0.35,1.0,2.55,68
Pauline Sojka,0.47,0.73,0.81,0.0,0.32,2.33,62
Danial Collins,0.67,0.6,0.81,0.65,0.09,2.82,97
Eric Eagan,0.36,0.32,0.56,0.65,0.35,2.24,43
Kurt Days,0.0,0.0,0.64,0.2,0.13,0.97,63
Alice Russell,0.0,0.74,1.0,0.0,0.38,2.12,63
Ruth Bishop,0.63,0.0,0.0,0.29,1.0,1.92,30
Joanne Binder,1.0,0.21,0.88,0.1,0.64,2.83,70
Paul Anderson,0.74,0.57,0.41,1.0,0.83,3.55,82
Leonard Watters,0.01,1.0,0.03,0.51,0.68,2.23,42
Michelle Woods,0.67,1.0,1.0,0.58,0.0,3.25,83
Walter Amaya,0.69,0.57,1.0,1.0,0.67,3.93,81
Timothy Hamilton,0.47,0.7,0.27,0.48,0.38,2.3,39
Robert Jones,0.4,0.8,0.56,0.85,0.81,3.42,79
Wayne Price,0.71,0.38,0.49,0.0,0.61,2.19,64
Georgia Grimes,0.39,0.0,0.84,0.19,1.0,2.42,41
Kevin Adams,0.75,0.0,0.29,0.0,0.0,1.04,45
Mabel Hunt,0.26,0.74,0.0,0.13,0.1,1.23,62
Rhonda Hurdle,0.79,0.67,1.0,0.56,0.0,3.02,72
Eric Rodgers,0.24,0.96,0.38,0.96,0.44,2.98,85
June Libby,1.0,0.0,0.7,0.47,0.0,2.17,65
Latonya White,0.1,0.01,0.0,0.82,0.0,0.93,35
David Rosales,0.59,0.39,0.17,0.13,0.0,1.28,54
Robin Mounts,0.71,0.32,0.25,0.76,0.21,2.25,31
Lisa Kay,0.26,0.0,0.77,0.17,0.15,1.35,36
Rubie Frey,0.23,0.75,0.28,0.1,0.0,1.36,55
Marjorie Cambareri,0.1,0.09,0.25,0.7,0.14,1.28,64
Evelin Tenney,0.0,0.33,0.04,0.92,1.0,2.29,56
Marian Fuller,0.0,0.78,0.11,0.0,0.43,1.32,66
